"IP","Date","Time","Accepted cookies","Device type","Browser language","Browser name","OS Name","Country","Region","RegionName","City","Zipcode","Lat","Lon"
"00.00.00.000",2023-04-26,"11:22:38 UTC","[""necessary""]","desktop","en","Chrome","Linux","India","GJ","Gujarat","Surat",395007,21.1888,72.8293
"00.00.00.000",2023-04-26,"11:57:52 UTC","[""necessary""]","desktop","en","Chrome","Linux","India","GJ","Gujarat","Surat",395007,21.1888,72.8293
"00.00.00.000",2023-04-26,"12:11:44 UTC","[""necessary""]","desktop","en","Chrome","Linux","India","GJ","Gujarat","Surat",395007,21.1888,72.8293
"00.00.00.000",2023-04-27,"12:50:29 UTC","[""necessary""]","desktop","en","Chrome","Linux","India","GJ","Gujarat","Surat",395007,21.1888,72.8293
"00.00.00.000",2023-04-28,"03:38:44 UTC","[""necessary""]","desktop","en","Chrome","Linux","India","GJ","Gujarat","Surat",395007,21.1888,72.8293
49.36.83.154,2023-04-28,20:23:49 UTC,["necessary"],desktop,en,Chrome,OS X,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-04-29,05:40:17 UTC,["necessary"],desktop,en,Firefox,Windows,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-04-29,21:25:42 UTC,["necessary"],desktop,en,Firefox,Windows,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-04-29,22:04:12 UTC,["necessary"],mobile,en,Chrome,Android,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-04-30,08:09:38 UTC,["necessary"],desktop,en,Firefox,Windows,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-05-08,19:40:25 UTC,["necessary"],desktop,zh,Chrome,Windows,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-05-08,22:13:16 UTC,["necessary"],desktop,en,Chrome,OS X,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-05-10,08:45:12 UTC,["necessary"],desktop,en,Chrome,OS X,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-05-10,22:07:57 UTC,["necessary"],mobile,en,,Android,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-05-11,15:52:34 UTC,["necessary"],desktop,en,Edge,Windows,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-05-18,18:37:26 UTC,["necessary"],desktop,en,Chrome,OS X,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-05-29,22:17:37 UTC,["necessary"],desktop,en,Chrome,Linux,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
